,Diseases,Number of times a disease occurred in polygenic risk score's related articles
1416,Weight,3912
40318,Schizophrenia,2428
22015,Cancer,2190
10215,Diabetes,2040
330,Depression,1912
331,Bipolar disorder,1809
28255,Stress,1712
22017,Death,1630
75,Body mass index,1608
376,Height,1492
374,Obesity,1420
10240,Cardiovascular disease,1357
71,Type 2 diabetes,1228
342,Major depressive disorder,1095
247,Coronary artery disease,1074
255,Breast cancer,1062
109,Hypertension,938
355,Coronary heart disease,815
334,Educational attainment,793
37394,Cognitive function,788
183,Stroke,752
9,Intelligence,733
29584,Depressive symptoms,702
10773,Physical activity,675
37522,Glucose,665
845,Prostate cancer,630
22018,Diabetes mellitus,618
16521,Autism spectrum disorder,597
5309,Alcohol consumption,591
16486,Myocardial infarction,573
29,Neuroticism,544
32408,Infection,540
22053,Smoking status,514
11796,Cognitive performance,485
22,Triglycerides,452
242,Rheumatoid arthritis,391
9979,Rectal cancer,389
258,Colorectal cancer,377
20041,Overweight,367
192,Metabolic syndrome,363
105,Systolic blood pressure,360
37391,Executive function,347
5475,Ovarian cancer,343
241,Asthma,329
32292,Neuropsychiatric disorders,327
479,Lung cancer,319
32288,Dyslipidemia,319
24,Type 1 diabetes,302
21942,Cholesterol levels,300
10419,Cortical thickness,293
831,Heart failure,283
107,Diastolic blood pressure,275
137,Multiple sclerosis,275
1417,Waist circumference,275
29424,Impulsivity,273
10958,Hemoglobin,247
395,Inflammatory bowel disease,243
29215,Hippocampal volume,231
29576,Melanoma,220
181,Atrial fibrillation,217
185,Ischemic stroke,217
471,Attention deficit hyperactivity disorder,214
37445,Phosphate,209
798,Epilepsy,200
10940,Fasting glucose,197
69,Birth weight,194
40300,Insomnia,191
33,Chronic kidney disease,188
329,Subjective well-being,178
1306,Post-traumatic stress disorder,171
891,Household income,168
10494,Hyperlipidemia,168
62,Triglyceride levels,163
310,Ulcerative colitis,155
28192,Chronic obstructive pulmonary disease,155
876,Worry,154
37393,Episodic memory,151
29021,Hepatitis,147
332,Memory performance,143
337,Sleep duration,138
10204,Angina,137
22016,Cardiomyopathy,137
80,Antisocial behavior,136
39095,Telomere length,135
935,Glucose levels,129
10207,Arrhythmia,129
340,Heart rate,128
32440,Neurological disease,126
40322,Substance dependence,126
191,Smoking cessation,125
21216,Cirrhosis,124
16485,Cardiometabolic traits,123
188,Smoking initiation,122
28906,Migraine,121
27,Systemic lupus erythematosus,120
4847,Bone mineral density,120
335,Reaction time,119
28857,Osteoporosis,119
40319,Skin cancer,119
70,Psoriasis,110
1024,Pancreatic cancer,107
1046,Hypertriglyceridemia,107
26731,Bleed,107
197,Loneliness,104
313,Extraversion,103
29000,Glaucoma,103
29577,Colon cancer,103
894,Trauma exposure,102
10242,Cerebrovascular disease,101
10203,Anemia,100
27422,Underweight,97
10941,Fasting insulin,94
99,Amyotrophic lateral sclerosis,93
32270,Glioma,93
